"Comment ID","Comment Published Date","Comment Author Name","Comment Content","Is Thread","Comment Likes Count","Comment Replies Count","Comment URL"
"UgzbJrMrFug_l_dgH3N4AaABAg","2013-06-18 05:28:24","Josesitaaa","WOW, this certainly IS her best performance of this song!!! Never seen this, thank you so much for uploading!! I love Fiona ♥ My favourite female singer ever.","true","8","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzbJrMrFug_l_dgH3N4AaABAg"
"UgzYO68HSgzC06WY2Wx4AaABAg","2013-06-23 01:20:51","ryan","she isn't so much performing as channeling the ghost of a broken blues battleax. awesome (in the truest sense of the word).","true","2","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzYO68HSgzC06WY2Wx4AaABAg"
"UgxXVMykJej5d58K9-l4AaABAg","2013-07-06 12:21:39","A Cheng","I love how you put the lyrics in the video. Seriously, everyone should start adding lyrics to music videos and lives and stuff.","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgxXVMykJej5d58K9-l4AaABAg"
"UgwtPZyJPsCKH0i24Jt4AaABAg","2013-09-01 03:06:10","MegaWhiner","And then the next day she gave ""the speech.""","true","57","3","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwtPZyJPsCKH0i24Jt4AaABAg"
"UgjQegEkPSBwG3gCoAEC","2013-11-13 18:39:42","Greg Saltis","She is electric in this.","true","23","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjQegEkPSBwG3gCoAEC"
"UgiKL6ohNSn3lngCoAEC","2013-12-05 17:39:01","flexor212000","I don't like the ""shudder"" she adds as an inflection. I don't know the proper term for it.","true","0","5","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgiKL6ohNSn3lngCoAEC"
"UgjD_VIc-YYnhXgCoAEC","2013-12-22 14:11:42","Yuki Dragon","I need to find more artists that still sound good live","true","11","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjD_VIc-YYnhXgCoAEC"
"UgibX3O-FOqsX3gCoAEC","2013-12-23 06:32:40","Byenia","Great performance!","true","12","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgibX3O-FOqsX3gCoAEC"
"Ugh5Isdina4uX3gCoAEC","2014-01-17 07:13:37","fernando perdomo","So.. who is the band.. I saw this tour and it was amazing","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugh5Isdina4uX3gCoAEC"
"UgjeD299G_4cdXgCoAEC","2014-03-15 19:16:33","mae12561","she could be Vera Fermiga's daughter. too weird a similarity, but both are awesome.","true","8","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjeD299G_4cdXgCoAEC"
"UggjS2JbeYp213gCoAEC","2014-03-16 04:27:52","taylor hunt","okay","true","0","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UggjS2JbeYp213gCoAEC"
